Comment,Sentiment,text_length,clean_text
First thing I thought of when I saw this was “nothing beats a Jet holiday!”,Positive,75,first thing thought saw nothing beats jet holiday
Jet really said: stress-free travel only! Nothing beats that.,Positive,61,jet really said stressfree travel nothing beats
"we gave fame to the right person, incredible",Positive,44,gave fame right person incredible
"With Clash, I could survive any of these challenges",Neutral,51,clash could survive challenges
"I am so excited for this video,but more to see karl, love you karl and karls mom.",Positive,81,excited videobut see karl love karl karls mom
is diabolical,Neutral,13,diabolical
With this clever trick... he got a personal pilot for days without paying almost anything!,Positive,90,clever trick got personal pilot days without paying almost anything
In the future you can do stay in a yacht for days And also Stay in a Submarine for days,Neutral,87,future stay yacht days also stay submarine days
Do a challenge where someone has to quit drinking,Neutral,49,challenge someone quit drinking
I’ve always wondered how do people get picked for these videos because I could easily do months on a jet for the jet and an additional half a million dollars,Neutral,157,ive always wondered people get picked videos could easily months jet jet additional half million dollars
bro got so happy right there,Positive,28,bro got happy right
welcome to Riyadh season,Neutral,24,welcome riyadh season
imagine he lost balance and then just faceplanted on the floor,Neutral,62,imagine lost balance faceplanted floor
Making him more happy,Positive,21,making happy
bro was happy,Positive,13,bro happy
we did it? Lol ..yeah,Neutral,21,lol yeah
Best,Positive,4,best
Did anyone else check to see how much longer the video was after the k offer?,Neutral,77,anyone else check see much longer video k offer
U should do a underwater challenge,Neutral,34,u underwater challenge
"Instead of going on vacation, you should use the prize money to open a low-cost or VIP flight business.",Neutral,103,instead going vacation use prize money open lowcost vip flight business
This man is genious seriouslly,Positive,30,man genious seriouslly
this is more of a blessing than a challenge,Positive,43,blessing challenge
the yard mentioned,Neutral,18,yard mentioned
I am your big fan from Pakistan,Positive,31,big fan pakistan
so nice of you to help out a financially struggling pilot,Positive,57,nice help financially struggling pilot
use it as an Uber,Neutral,17,use uber
Mrbeast is the king of youtubers,Positive,32,mrbeast king youtubers
Yes,Neutral,3,yes
Doordash needs to come to more countrys,Neutral,39,doordash needs come countrys
“do you mind taking us to miami florida” “%” so he does mind?,Neutral,61,mind taking us miami florida mind
airack this was way to obvious,Neutral,30,airack way obvious
"If you had taken me in this video, I would have spent a year there.",Neutral,67,taken video would spent year
Thanks for million subscriber,Positive,29,thanks million subscriber
Next challenge survive mount everest days,Neutral,41,next challenge survive mount everest days
Interesting man,Positive,15,interesting man
AYOOO JIDION,Neutral,12,ayo jidion
Best Content Creator Love from Ghana,Positive,36,best content creator love ghana
I am a viewer from Indonesia,Neutral,28,viewer indonesia
Bros metal strength is on another level...,Positive,42,bros metal strength another level
Imagine JET sponsored this,Neutral,26,imagine jet sponsored
"- the cup that said "" minute walk"" LMAO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Where? Where are you gonna walk?",Neutral,126,cup said minute walk lmao gonna walk
Saying no to the shower just to say yes to the little yard is insane.,Positive,69,saying shower say yes little yard insane
bro said,Neutral,8,bro said
Its crazy the vidéo at . millions,Positive,33,crazy vido millions
that’s Airack,Neutral,13,thats airack
Beyond amazing actually,Positive,23,beyond amazing actually
If bro was single he'd easily do the extra . Relationships and marriages come at a cost of a certain freedom and free will,Neutral,122,bro single hed easily extra relationships marriages come cost certain freedom free
Bro spend a hundred days in that jet and still went to a holiday right after stepping on the ground,Neutral,99,bro spend hundred days jet still went holiday right stepping ground
the best video ever,Positive,19,best video ever
very strong person! beautiful video! thank you very much for this video!,Positive,72,strong person beautiful video thank much video
"Damn, he choosed a bed Over Lamborghini!",Neutral,40,damn choosed bed lamborghini
I can’t believe this,Neutral,20,cant believe
A beautiful video.,Positive,18,beautiful video
"reject a Lamborghini it doesn't matter I have a bed"""" without a doubt the best thing hahaha""",Positive,92,reject lamborghini doesnt matter bed without doubt best thing hahaha
Finally our legend is back,Positive,26,finally legend back
. million jet k lamborghini k offers k for more days Total= . million offers in one video,Neutral,89,million jet k lamborghini k offers k days total million offers one video
I loved the another days,Positive,24,loved another days
This is the best video you’ve made yet.,Positive,39,best video youve made yet
Bro didn't take shower for days. This challenge is insane,Neutral,57,bro didnt take shower days challenge insane
Next challenge days,Neutral,19,next challenge days
King of all Social sides,Positive,24,king social sides
he’s definitely a gamer,Neutral,23,hes definitely gamer
btw the biggest indoor ski slope in america is in new jersery not new york,Neutral,74,btw biggest indoor ski slope america new jersery new york
Pray for Palestine,Neutral,18,pray palestine
Next challange underwater,Neutral,25,next challange underwater
we?? we did this??,Neutral,18,
You should do a video about you have to stay or days in a submarine,Neutral,67,video stay days submarine
Airack I see u at,Neutral,17,airack see u
days till the next big event,Neutral,28,days till next big event
average unc outfit,Neutral,18,average unc outfit
Congrats to the winners,Positive,23,congrats winners
You just earned a new subscriber,Positive,32,earned new subscriber
Opened the app at the perfect time,Neutral,34,opened app perfect time
I've been to that hotel it's a w,Positive,32,ive hotel w
I love Lucia,Positive,12,love lucia
airack,Neutral,6,airack
“We did it”who is we,Neutral,20,itwho
Love this video,Positive,15,love video
Cool,Positive,4,cool
Next one has to be a yacht/ boat,Neutral,32,next one yacht boat
Wow nice challenge,Positive,18,wow nice challenge
Bed over lamborghini is crazy,Neutral,29,bed lamborghini crazy
this sounds a bit to familiar to another certain sponsor...,Neutral,59,sounds bit familiar another certain sponsor
It's been hours and I'm still stuck on,Neutral,38,hours im still stuck
IS THAT SADIE FROM RDR???,Neutral,25,sadie rdr
To shower,Neutral,9,shower
u wont believe this but thats me in,Neutral,35,u wont believe thats
AIRACK LET ME IN YOUR VIDEO,Neutral,27,airack let video
Who’s WE????,Neutral,12,whos
kollab with messi??,Neutral,19,kollab messi
"It would be really cool if you made a video about the best water parks in the world. I recommend Siam Park, it's the best.",Neutral,122,would really cool made video best water parks world recommend siam park best
Super Beast,Positive,11,super beast
I want this Challenge,Neutral,21,want challenge
We ?,Neutral,4,
"Whatever it is, we owe gratitude",Positive,32,whatever owe gratitude
airack found,Neutral,12,airack found
Airrick !!!!!!,Neutral,14,airrick
brother you video really nice,Positive,29,brother video really nice
we did it? seriously?,Neutral,21,seriously
MRBEAST,Positive,7,mrbeast
smyw,Neutral,4,smyw
Do a video when you visit space for first time,Neutral,46,video visit space first time
Hey mrbeast you have a problem on your Türkish translation you said you will not be eliminated but you said in turkish o odaya girersen elenmiş olacaksın so it means if you join that room you will be eliminated but no problem on turkish subtitles,Neutral,246,hey mrbeast problem trkish translation said eliminated said turkish odaya girersen elenmi olacaksn means join room eliminated problem turkish subtitles
atleast he made three version of himself,Neutral,40,atleast made three version
what was that sound???,Neutral,22,sound
So I would revive days buried alive or if it's better underwater in a submarine,Neutral,79,would revive days buried alive better underwater submarine
brooooo,Neutral,7,bro
"Daddy?""""""",Neutral,9,daddy
For the first time I am among the first two million people to watch the video,Neutral,77,first time among first two million people watch video
thought he was gonna quit,Neutral,25,thought gonna quit
I am a big fan of the hazer.,Positive,28,big fan hazer
yes im living on hard mode :D !!!!!!!!!!!!!!!!!!!!!,Neutral,51,yes im living hard mode
who is we?,Neutral,10,
come on Arriack too obvious,Neutral,27,come arriack obvious
is that airack,Neutral,14,airack
Fortnite :D,Neutral,11,fortnite
Imagine goin home to that pillow princess,Neutral,41,imagine goin home pillow princess
"$YouTuber vs$YouTuber""""""",Neutral,24,youtuber vsyoutuber
what do you mean,Neutral,16,mean
nice challenging video,Positive,22,nice challenging video
what's bro just say,Neutral,19,whats bro say
What fuels your passion?,Neutral,24,fuels passion
Did he say fortnight,Neutral,20,say fortnight
I need ur help,Neutral,14,need ur help
“days? Bro I can barely survive hours in economy class.”,Neutral,56,days bro barely survive hours economy class
"What a crazy thing, you're a millionaire, man.",Positive,46,crazy thing youre millionaire man
Love this,Positive,9,love
I'm eating feastables for the first time.,Neutral,41,im eating feastables first time
what a fantastic video was it,Positive,29,fantastic video
Your videos are really amazing. And I am a big fan of yours.,Positive,60,videos really amazing big fan
mrbeast is the best,Positive,19,mrbeast best
This is insane days is a lot in such a confined space,Positive,53,insane days lot confined space
I am your fan,Positive,13,fan
I’ve always wondered how you got your ideas,Neutral,43,ive always wondered got ideas
This is carzy three months in the plan,Positive,38,carzy three months plan
He could use the PJ to take people places for money,Neutral,51,could use pj take people places money
Fantastic,Positive,9,fantastic
Love planning,Positive,13,love planning
Oh happy,Positive,8,oh happy
Can i have a million dollars?,Neutral,29,million dollars
Thanks for million view,Positive,23,thanks million view
Thank you for subscriber complete,Positive,33,thank subscriber complete
"Supper chaileng,",Positive,16,supper chaileng
"Even though you don't need it you have a shampoo."""" then showcases the shiny bald head is crazy""",Neutral,96,even though dont need shampoo showcases shiny bald head crazy
Loved seeing you both !,Positive,23,loved seeing
Nolan I believe in you!,Positive,23,nolan believe
Seeing Nolan happy and in love was the best part of the video.,Positive,62,seeing nolan happy love best part video
Nolan Is the best assistant,Positive,27,nolan best assistant
Seeing Nolan being happy and not bullied in a video is honestly so heartwarming to see,Positive,86,seeing nolan happy bullied video honestly heartwarming see
Nolan being an actual heart warming part of the video was amazing.,Positive,66,nolan actual heart warming part video amazing
It’s honestly calming to see Mrbeast actually happy,Positive,51,honestly calming see mrbeast actually happy
The date isn't made of money or people around. Is made with the person who you love,Positive,83,date isnt made money people around made person love
Can’t wait for the $ wedding vs $M wedding sequel.,Neutral,50,cant wait wedding vs wedding sequel
I love how genuine Nolan is,Positive,27,love genuine nolan
Seeing Nolan being genuinely makes me,Positive,37,seeing nolan genuinely makes
This is the proper way calling the viewers poor,Negative,47,proper way calling viewers poor
Nolan’s laugh with Madison got me on the floor dying,Positive,52,nolans laugh madison got floor dying
Bro is calling us single in the richest way possible.,Neutral,53,bro calling us single richest way possible
!!!!OMG so cuteeee!!!!,Positive,22,omg cute
"Cant wait for the $ wedding to ,, wedding series",Neutral,48,cant wait wedding wedding series
Nolan and Madison Beer wedding when?,Neutral,36,nolan madison beer wedding
"Nolan with Maddison is killing me, the awkwardness LOLL",Positive,55,nolan maddison killing awkwardness loll
Am I the only one who excited to see the $ always,Positive,49,one excited see always
"Can I just say, the cameraman is the greatest third wheeler I ever seen",Positive,71,say cameraman greatest third wheeler ever seen
"I can't believe y'all sandbagged Nolan's ""full circle"" joke. That was great.",Positive,76,cant believe yall sandbagged nolans full circle joke great
"Now it’s time for $ Vs $,, Wedding",Neutral,34,time vs wedding
nolan seeming to be happy is just beautiful,Positive,43,nolan seeming happy beautiful
Madison is such a queen! And Nolan did amazing winning that adorable plushie worm <,Positive,83,madison queen nolan amazing winning adorable plushie worm
Nolan & Madison was next level,Positive,30,nolan madison next level
I can't wait for the wedding series from $ wedding to $ million wedding,Neutral,71,cant wait wedding series wedding million wedding
Nolan pulling dates with maddison beer has given me hope,Positive,56,nolan pulling dates maddison beer given hope
We need more Nolan and Maddison,Neutral,31,need nolan maddison
Nolan actually being treated nice for once is amazing to see,Positive,60,nolan actually treated nice amazing see
That nodding got me,Neutral,19,nodding got
"Nolan with Maddison, I'm dyinngggg",Positive,34,nolan maddison im dyinng
I love seeing Nolan happy. They are perfect,Positive,43,love seeing nolan happy perfect
Nolan having awkwardness rizz is crazy to see!!,Positive,47,nolan awkwardness rizz crazy see
Not only me seeing this whole video being single,Neutral,48,seeing whole video single
I LOVE seeing Nolan Happy,Positive,25,love seeing nolan happy
"If Madison and Nolan start dating, I'll believe in love.",Positive,56,madison nolan start dating ill believe love
She is so cute,Positive,14,cute
The way Nolan asked Maddison and her saying yes almost made me cry becasue i think its so sweet,Positive,95,way nolan asked maddison saying yes almost made cry becasue think sweet
We need a part two for Madison and Nolan,Neutral,40,need part two madison nolan
Tom the Turkey has more self control then Noland,Neutral,48,tom turkey self control noland
Happy for Nolan,Positive,15,happy nolan
"""It's a great outfit""... followed up by the creepiest laugh ever. I love you Nolan",Positive,82,great outfit followed creepiest laugh ever love nolan
Madison: Thanks Nolan Nolan: Anytime,Positive,36,madison thanks nolan nolan anytime
Nolan's a legend,Positive,16,nolans legend
What a beautiful couple,Positive,23,beautiful couple
i love seeing nolan happy,Positive,25,love seeing nolan happy
Next: The Wedding $ vs $M,Neutral,25,next wedding vs
tom the turkey is so majestic,Positive,29,tom turkey majestic
You can tell he's legit happy to do this video,Positive,46,tell hes legit happy video
Just want see Nolan and medison beer in days underground video challenge,Neutral,72,want see nolan medison beer days underground video challenge
Nolan seeming to be happy is just lovely,Positive,40,nolan seeming happy lovely
She's so sweet and humble.,Positive,26,shes sweet humble
Nolan just sitting on a beach chair got me laughing on the inside,Positive,65,nolan sitting beach chair got laughing inside
Love seeing NOLAN happy here,Positive,28,love seeing nolan happy
madison driving and nolan being a passanger prince is killing meeeeee,Positive,69,madison driving nolan passanger prince killing
The way Nolan laughed had me rolling on the floor .,Positive,51,way nolan laughed rolling floor
Nolan’s laugh,Positive,13,nolans laugh
Tareq and Karl in last was funny,Positive,32,tareq karl last funny
I love her she’s so kind and grateful,Positive,37,love shes kind grateful
Bro destroy other brands,Neutral,24,bro destroy brands
Roast of Hershey is fantastic,Positive,29,roast hershey fantastic
Nolan is literally me,Neutral,21,nolan literally
WE NEED A PART 2 WITH NOLAN AND MADISON,Neutral,39,need part nolan madison
Disneyland scene was insane,Positive,27,disneyland scene insane
Nolan pulling Madison beer is actually giving me some hope,Positive,58,nolan pulling madison beer actually giving hope
Nolan with Maddison beer is crazy,Positive,33,nolan maddison beer crazy
"""Thaaanks Nolan"" ""Anytime""",Positive,26,thanks nolan anytime
Nolan has to v Justin Herbert in a QB drill for Madison,Neutral,55,nolan v justin herbert qb drill madison
Bros gonna have one of the most insane dad lore in the entire world,Positive,67,bros gonna one insane dad lore entire world
Nolan:- great outfit ehhheehehehhehehe She:- aayyoo,Neutral,51,nolan great outfit eheehehehhehehe aayyoo
covering the plushies eyes was so cute,Positive,38,covering plushies eyes cute
KISS,Neutral,4,kiss
Nooolaaan,Neutral,9,nolan
Its so heart warming to see nolan get more comfortable talking,Positive,62,heart warming see nolan get comfortable talking
Chandlers Back,Positive,14,chandlers back
Oooohh sooooo sweet,Positive,19,ohh sweet
It’s honestly calming to see him actually happy,Positive,47,honestly calming see actually happy
Nolan out here fumbling the bag.,Negative,32,nolan fumbling bag
Nolan being happy in a video is a once in a lifetime moment,Positive,59,nolan happy video lifetime moment
Madison Beer going on a date with Nolan was way too hilarious,Positive,61,madison beer going date nolan way hilarious
Madison Beer being with Nolan before gta is crazy,Neutral,49,madison beer nolan gta crazy
Madison and Nolan are so cute together idk why,Positive,46,madison nolan cute together idk
Nolan is being the pookie and heart warming,Positive,43,nolan pookie heart warming
this video is seriously so cute I just rewatched it again. Love seeing people happy,Positive,83,video seriously cute rewatched love seeing people happy
I just love chandlers nonchalant attitude,Positive,41,love chandlers nonchalant attitude
"I just realised, I was smiling throughout the video !",Positive,53,realised smiling throughout video
This the most I've seen me beast smile a lot he truly loves her so much.,Positive,72,ive seen beast smile lot truly loves much
I absolutely LOVE her accent,Positive,28,absolutely love accent
We need part two of Nolan and Madison in a date,Neutral,47,need part two nolan madison date
Finally a video where u spend on yrself. U deserved it after all the years of fun videos u make for us congrats to both of you,Positive,126,finally video u spend yrself u deserved years fun videos u make us congrats
The full circle joke was peak Nolan. Don’t let them bully you. lol,Positive,66,full circle joke peak nolan dont let bully lol
. Support you,Positive,13,support
To your date. Nolan’s date experience was really funny ./ video of course,Positive,73,date nolans date experience really funny video course
Mrbeast is a Mythical Legend,Positive,28,mrbeast mythical legend
Dude this entire video had me cheesin ear to ear. Straight up beautiful. I love people and I love love.,Positive,103,dude entire video cheesin ear ear straight beautiful love people love love
Every Date was wholesome Nolan's first date was funny at the start,Positive,66,every date wholesome nolans first date funny start
You should put her in videos more often she’s soo awesome,Positive,57,put videos often shes soo awesome
Nolans masterclass,Positive,18,nolans masterclass
“I’m frickin terrified” “what’d you say?” “I’m exited”,Neutral,54,im frickin terrified whatd say im exited
Nolan making an amazing debut,Positive,29,nolan making amazing debut
"What a beautiful couple, they are very cute together",Positive,52,beautiful couple cute together
This is brilliant,Positive,17,brilliant
Soo cute . . .,Positive,14,soo cute
Madison and Nolan going to Disney land together is actually so sweet.,Positive,69,madison nolan going disney land together actually sweet
I am so happy that karl and Nolan is in this video. They are so funny,Positive,69,happy karl nolan video funny
It's very cute,Positive,14,cute
it's so cute,Positive,12,cute
Nolan genuinely being a heartwarming part of the video was incredible.,Positive,70,nolan genuinely heartwarming part video incredible
I loved them all,Positive,16,loved
Tom was the dinner of the night it is said,Neutral,42,tom dinner night said
love seeing Mbeast happy,Positive,24,love seeing mbeast happy
"next vid should be $ vs $, dating advice for nolan.",Neutral,51,next vid vs dating advice nolan
LOL,Neutral,3,lol
Wow! This is truly heart warming. The love they hav is just outta the wrld,Positive,74,wow truly heart warming love hav outta wrld
Nolan gonna heartbroke after realize that it was a just for a video,Negative,67,nolan gonna heartbroke realize video
"Damn he really loves her, love to see you both!!",Positive,48,damn really loves love see
The Dollar Date is actually $... Who we kidding?,Neutral,48,dollar date actually kidding
It is so nice to see Nolan happy and not bullied.,Positive,49,nice see nolan happy bullied
I love you guys,Positive,15,love guys
They look so happy together,Positive,27,look happy together
I love how you are spending more time with her rather than making longer video,Positive,78,love spending time rather making longer video
she missed her chance to say every date is priceless with you,Neutral,61,missed chance say every date priceless
I was smiling the whole video so wholesome,Positive,42,smiling whole video wholesome
Bro is calling us poor in languages,Negative,35,bro calling us poor languages
Nolan and Madison the heartwarming,Positive,34,nolan madison heartwarming
all i can do is smile and watch this,Positive,36,smile watch
You should definitely do more videos with your fiancé!!! It was a nice chill video.,Positive,83,definitely videos fianc nice chill video
Thanks for including us on your magical date night! This was super heart-warming.,Positive,81,thanks including us magical date night super heartwarming
Nolan's date was the best part,Positive,30,nolans date best part
Money talks walks flys rides swims races,Neutral,40,money talks walks flys rides swims races
"Beast, when you have your wedding, do a $ vs $,, wedding video",Neutral,62,beast wedding vs wedding video
Thanks for taking us on the date!,Positive,33,thanks taking us date
is pretty heartwarming,Positive,22,pretty heartwarming
$ wedding vs. $ million dollar wedding,Neutral,38,wedding vs million dollar wedding
bro is clearly roasting Hershy's,Neutral,32,bro clearly roasting hershys
the ahhhhhhhhh is so funny,Positive,26,ah funny
The next video should be $ wedding vs million$ wedding,Neutral,54,next video wedding vs million wedding
Nolan has so much aura after than,Positive,33,nolan much aura
Im so happy for nolan.I hope they stay together.,Positive,48,im happy nolani hope stay together
"""Its fun winning"" Is just perfect",Positive,33,fun winning perfect
Probably the most heart warming video I’ve seen,Positive,47,probably heart warming video ive seen
YESSS. NOLAN DESERVEDDS ITTT SO MUCHHH,Positive,38,yes nolan deservedds much
"He had the chance to say ""This might be the dollar date but with you, its priceless""",Neutral,84,chance say might dollar date priceless
So nice,Positive,7,nice
"the aura, holy",Positive,14,aura holy
get nolan here and this will be pure comedy,Positive,43,get nolan pure comedy
I love seeing those two happy together,Positive,38,love seeing two happy together
Next up : $ Vs million $ wedding,Neutral,32,next vs million wedding
From $ straight to $k date? Skipped all of us bro lol,Neutral,53,straight k date skipped us bro lol
that ankle breaker tho,Positive,22,ankle breaker tho
It was really awesome seeing a video featuring Nolan being happy. It was heart warming.,Positive,87,really awesome seeing video featuring nolan happy heart warming
Bro Nolan and Madison are so cute! So rooting for them xx.,Positive,58,bro nolan madison cute rooting xx
I loved seeing u both together....it heart warming,Positive,50,loved seeing u togetherit heart warming
Very happy seeing you two happy,Positive,31,happy seeing two happy
I would be really glad if Nolan and Madison will going on a nd date,Neutral,67,would really glad nolan madison going nd date
I can’t believe we got nolan dating madison before gta,Neutral,54,cant believe got nolan dating madison gta
havent seen him being so happy in a video ever,Positive,46,havent seen happy video ever
I also want to challenge,Neutral,24,also want challenge
Seeing gordan calm is a very rare sighting that I’ve been blessed with,Positive,70,seeing gordan calm rare sighting ive blessed
May happiness always be with you Nolan,Positive,38,may happiness always nolan
the difference between k and k is crazy,Neutral,39,difference k k crazy
im so proud of nolan,Positive,20,im proud nolan
First time seeing mrbeast happy uffff,Positive,37,first time seeing mrbeast happy uf
"Nolan's ideal partner, the turkey hahaha",Neutral,40,nolans ideal partner turkey hahaha
"vs ,, dollar girlfriend next",Neutral,28,vs dollar girlfriend next
We need more Nolan and Madison!,Neutral,31,need nolan madison
it was magical,Positive,14,magical
Nolan is going places,Positive,21,nolan going places
i think cameramen is invisible,Neutral,30,think cameramen invisible
Tareq editing this vid:,Neutral,23,tareq editing vid
So nice seeing them togerther,Positive,29,nice seeing togerther
this makes me smile,Positive,19,makes smile
meanwhile there's a pilot in another video during this one,Neutral,58,meanwhile theres pilot another video one
"I'm happy for Nolon, now he's happy",Positive,35,im happy nolon hes happy
The last one is a very budget date,Neutral,34,last one budget date
This is the power of money,Neutral,26,power money
This is awesome,Positive,15,awesome
Nolan is just me,Neutral,16,nolan
nice video,Positive,10,nice video
The best video of them all,Positive,26,best video
Tom is the most chilled Turkey I have ever seen,Positive,47,tom chilled turkey ever seen
he replaced Hersey's with feastables got me rolling,Positive,51,replaced herseys feastables got rolling
Best couple was nolan and tom the Turkey,Neutral,40,best couple nolan tom turkey
Favorite video lately. So cute!,Positive,31,favorite video lately cute
Only if Hersheys saw this,Neutral,25,hersheys saw
I was laughing in agony watching Nolan on that date,Positive,51,laughing agony watching nolan date
Nolan having a date is straight up unbelievable,Positive,47,nolan date straight unbelievable
Singles button,Neutral,14,singles button
Love see you both! Mrbeast,Positive,26,love see mrbeast
spend more time with your loved ones. happy to see beast happy haha,Positive,67,spend time loved ones happy see beast happy haha
"Seeing Nolan happy with her love is actually happy heart warming to see, This video is so amazing",Positive,97,seeing nolan happy love actually happy heart warming see video amazing
the Hershey company after watching the video,Neutral,44,hershey company watching video
Nolan+Madison beer=,Neutral,19,nolanmadison beer
seeing tia and best matching energy is so fun,Positive,45,seeing tia best matching energy fun
Nolan with Maddison beer was very unexpected,Positive,44,nolan maddison beer unexpected
Ohhh wow,Positive,8,oh wow
was freakinngly incredible,Positive,26,freakinngly incredible
Nolan: “HEHEHEHEHEHE ” Madison:,Neutral,31,nolan hehehehehehe madison
Anyone else love when Nolan is happy,Positive,36,anyone else love nolan happy
Kinda hard to watch ts while being single,Negative,41,kinda hard watch ts single
Nolan finally locked in,Positive,23,nolan finally locked
he is DEFO crackin tonight,Neutral,26,defo crackin tonight
karl getting lectured by gordon is peak,Positive,39,karl getting lectured gordon peak
Not Nolan laughing with Madison,Positive,31,nolan laughing madison
To be with the person you love wherever you are,Positive,47,person love wherever
the marketing level,Positive,19,marketing level
"a very harmonious and adorable couple, this video will become history in your life",Positive,82,harmonious adorable couple video become history life
Nolan trying to squeeze in on the jumbotron love ya Nolan,Positive,57,nolan trying squeeze jumbotron love ya nolan
Nolan with the rizz is amazing,Positive,30,nolan rizz amazing
How did maddison beer pull Nolan,Neutral,32,maddison beer pull nolan
is so cute,Positive,10,cute
Put Nolan and Maddison beer on more dates together,Neutral,50,put nolan maddison beer dates together
Seeing Nolan happy is making me happy,Positive,37,seeing nolan happy making happy
Also seeing nolan not getting bullied feels so much better,Positive,58,also seeing nolan getting bullied feels much better
that’s nice,Positive,11,thats nice
The wedding gonna be so fantastic,Positive,33,wedding gonna fantastic
Imagine spending over k for your date then they say no,Neutral,54,imagine spending k date say
"Bro, we got Nolan and Madison Beer before GTA",Neutral,45,bro got nolan madison beer gta
Lowkey nolan and Madison actually getting together would be absolute cinema,Positive,75,lowkey nolan madison actually getting together would absolute cinema
Beauty and the Beast,Neutral,20,beauty beast
W Rizz,Positive,6,w rizz
Not her covering the plushie's eyes,Positive,35,covering plushies eyes
Honestly bringing the people from past videos was great,Positive,55,honestly bringing people past videos great
"$ wedding vs. $, wedding",Neutral,24,wedding vs wedding
Nolan is really innocent,Positive,24,nolan really innocent
tom the turkey carried the video,Positive,32,tom turkey carried video
AN IDOIT SANDWICH,Neutral,17,idoit sandwich
Nolan is effortlessly funny,Positive,27,nolan effortlessly funny
Beautiful couple,Positive,16,beautiful couple
HOW's the weather button,Neutral,24,hows weather button
nooo,Neutral,4,
"Imagine booking a trip to disney, only for them to say ""sorry mrbeast has booked the entire park""",Neutral,97,imagine booking trip disney say sorry mrbeast booked entire park
This was honestly really wholesome!,Positive,35,honestly really wholesome
Money and influence can do wonders,Neutral,34,money influence wonders
+ aura,Positive,6,aura
So money can buy happiness,Neutral,26,money buy happiness
NOLAN YOU HAVE TO LOCK IN,Neutral,25,nolan lock
I can’t,Neutral,7,cant
bro said only,Neutral,13,bro said
poor tom,Neutral,8,poor tom
its not about how expensive it is but about how u love each other,Positive,65,expensive u love
Nolan trying to rizz was crazy,Positive,30,nolan trying rizz crazy
This became Nolan interviewing Madison. Petition for Nolan to be an interviewer,Neutral,79,became nolan interviewing madison petition nolan interviewer
was epic,Positive,8,epic
Honesty none of us are used to it either,Neutral,40,honesty none us used either
low taper fade,Neutral,14,low taper fade
we need another nolan - madison - combo,Neutral,39,need another nolan madison combo
Enjoy every moment in life,Positive,26,enjoy every moment life
$ wedding vs m$ wedding is gonna be crazy,Neutral,41,wedding vs wedding gonna crazy
Now this is who i came to see,Positive,29,came see
Nolan gave me a heart attack and a stroke at the same time.,Positive,59,nolan gave heart attack stroke time
They are so cute together!,Positive,26,cute together
That’s cool,Positive,11,thats cool
She so cute couple,Positive,18,cute couple
Mrbeast really is a Gentleman,Positive,29,mrbeast really gentleman
Nolan with Madison carried this video,Positive,37,nolan madison carried video
No matter how big or successful you are as a YouTuber the vine boom is a necessity,Positive,82,matter big successful youtuber vine boom necessity
So happy nolan is not gegting bullied anymore :),Positive,48,happy nolan gegting bullied anymore
"we're not eating tom""""""",Neutral,23,eating tom
"Even though you don't need it  it comes with a shampoo""""""",Neutral,57,even though dont need comes shampoo
Coach Wall isn't just a coach he was a legend and inspiration,Positive,61,coach wall isnt coach legend inspiration
Coach wall is probably one of the nicest people ive seen,Positive,56,coach wall probably one nicest people ive seen
One of the saddest scenes. Coach Wall was definitely an inspiration,Positive,67,one saddest scenes coach wall definitely inspiration
Coach wall was genuinely one of the most supportive and kind people I have ever seen,Positive,84,coach wall genuinely one supportive kind people ever seen
"This is not a challenge, this is a story that made me cry a lot.",Positive,64,challenge story made cry lot
I didn't expect coach to be gone. Almost cried he was incredibly nice.,Positive,70,didnt expect coach gone almost cried incredibly nice
one of the saddest videos mrbeast ever and thank you coach wall you are truly a legend,Positive,86,one saddest videos mrbeast ever thank coach wall truly legend
The way he refuses to get another trainer is very heart warming.,Positive,64,way refuses get another trainer heart warming
coach wall was probably one of the kindest people lhave ever seen .,Positive,67,coach wall probably one kindest people lhave ever seen
I’m literally gonna cry coach wall was a legend,Positive,47,im literally gonna cry coach wall legend
"Coach wall wasn’t just a coach, he was a brother and defining figure in this man’s transformation",Positive,97,coach wall wasnt coach brother defining figure mans transformation
Coach Wall was a legend and will always be remembered,Positive,53,coach wall legend always remembered
This might be the most motivational video I have ever seen. Coach Wall,Positive,70,might motivational video ever seen coach wall
"coach Wall was a big reason why this man’s life was changed, he’s a legend.",Positive,75,coach wall big reason mans life changed hes legend
"I couldn't imagine mainly seeing person for almost days, then getting the news that they've passed.",Positive,99,couldnt imagine mainly seeing person almost days getting news theyve passed
I wasn't expecting the video this emotional,Positive,43,wasnt expecting video emotional
"Your dad and Coach Wall are proud of you, Majd.",Positive,47,dad coach wall proud majd
coach wall isn't just a coach! he's a story!,Positive,44,coach wall isnt coach hes story
losing your dad and then someone who supported you for days is just heartbreaking,Positive,81,losing dad someone supported days heartbreaking
Probably the most heart wrenching and beautiful video ive seen in a long time,Positive,77,probably heart wrenching beautiful video ive seen long time
"""Coach was side by side with me, and now, he isnt here"" im so sorry for your loss.",Positive,82,coach side side isnt im sorry loss
Coach Wall was genuinely the kindest and most loving person I've ever seen.,Positive,75,coach wall genuinely kindest loving person ive ever seen
this is literally the first mrbeast video that made me cry,Positive,58,literally first mrbeast video made cry
Bro I actually cried there,Positive,26,bro actually cried
